"id","CO","NO","NO2","NOX","O3","PM10","PM2.5","SO2"
"PED382011",0.37125748502994,6.10119047619048,18.3809523809524,24.5178571428571,28.6369047619048,29.3333333333333,14.2614379084967,4.66666666666667
"PED392011",0.50609756097561,8.72727272727273,25.1393939393939,33.8060606060606,34.1333333333333,36.9263803680982,16.840490797546,4.05421686746988
"PED402011",0.423214285714286,8.52380952380952,22.9464285714286,31.4345238095238,29.9642857142857,35.3373493975904,18.9698795180723,3.66071428571429
"PED412011",0.516071428571429,11.5808383233533,22.1437125748503,33.6646706586826,22.5952380952381,26.6107784431138,16.6407185628743,1.69047619047619
"PED422011",0.358974358974359,10.9487179487179,18.7307692307692,29.6923076923077,30.1923076923077,25.6103896103896,12.7272727272727,4.3974358974359
"PED432011",0.67319587628866,24.360824742268,35.2680412371134,59.5876288659794,27.9690721649485,49.6,18.8545454545455,9.75257731958763
"PED442011",0.44,11.0121212121212,27.1575757575758,38.2242424242424,29.9515151515152,41.3067484662577,18.7852760736196,7.68484848484848
"PED452011",0.489820359281437,11.4610778443114,25.7365269461078,37.1976047904192,28.1556886227545,44.7177914110429,27.0368098159509,4.55089820359281
"PED462011",0.516071428571429,11.9520958083832,29.0059880239521,40.9640718562874,33.3511904761905,47.437125748503,25.9580838323353,4.42261904761905
"PED472011",0.411309523809524,10.5952380952381,27.6130952380952,38.1904761904762,28.2083333333333,37.311377245509,18.7544910179641,4.20238095238095
"PED482011",0.730625,22.075,40.40625,62.53125,22.58125,54.2666666666667,29.1047619047619,7.15
"PED492011",1.03154761904762,19.797619047619,44.4642857142857,64.2380952380952,40.8154761904762,73.5297619047619,42.125,8.07738095238095
"PED502011",0.874534161490683,18.2743902439024,36.5243902439024,54.7926829268293,29.9573170731707,60.2782608695652,30.5565217391304,8.17073170731707
"PED512011",0.577245508982036,16.1017964071856,21.2035928143713,37.251497005988,22.7080745341615,33.1916167664671,15.0838323353293,3.39520958083832
"PED522011",0.560135135135135,11.9121621621622,24.2837837837838,36.1081081081081,28.2094594594595,38.3576158940397,19.2847682119205,3.83783783783784
"PED532011",0.633333333333333,9.54166666666667,27.5416666666667,36.9583333333333,20.4166666666667,41.5833333333333,24.8333333333333,4.16666666666667
"SAG102011",0.695364238410596,17.5298507462687,22.6044776119403,39.9850746268657,31.1592356687898,73.8141025641026,23.3525641025641,3.23566878980892
"SAG112011",0.69940119760479,23.9461077844311,26.2994011976048,50.2215568862275,30.5329341317365,72.9300699300699,23.6923076923077,5.0059880239521
"SAG12011",1.09393939393939,27.5350318471338,30.4713375796178,57.5222929936306,21.4424242424242,83.4226190476191,34.9285714285714,6.68484848484848
"SAG122011",0.842,28.5570469798658,27.8590604026846,56.3758389261745,29.3,87.5066666666667,29.4333333333333,4.94
"SAG132011",0.96687898089172,30.7324840764331,28.1146496815287,58.6687898089172,33.5222929936306,100.933333333333,39.1466666666667,2.39490445859873
"SAG142011",0.496913580246914,13.5432098765432,18.7098765432099,31.6049382716049,34.3765432098765,79.3137254901961,28.1806451612903,1.69753086419753
"SAG152011",0.453968253968254,19.3072289156627,26.2590361445783,45.0963855421687,37.1927710843374,101.41717791411,31.4512195121951,4.25903614457831
"SAG162011",0.633333333333333,18.7647058823529,24.8161764705882,43.3897058823529,34.9191176470588,55.8391608391608,26.2097902097902,1.85294117647059
"SAG172011",0.610778443113772,8.52694610778443,23.9940119760479,32.0419161676647,49.0179640718563,86.0180722891566,34.9638554216867,1.48502994011976
"SAG182011",0.554320987654321,9.43478260869565,21.639751552795,30.7453416149068,38.6987179487179,71.3416149068323,28.1823899371069,5.84567901234568
"SAG192011",0.652201257861635,10.685534591195,26.8050314465409,37.1761006289308,41.0691823899371,78.9125,33.9192546583851,4.84905660377358
"SAG202011",0.682089552238806,10.8230088495575,24.9734513274336,35.6991150442478,41.4328358208955,81.9596774193548,36.984126984127,7.20300751879699
"SAG212011",0.765753424657534,21.4520547945205,27.5890410958904,49.0342465753425,36.0616438356164,86.3150684931507,31.2013888888889,4.06293706293706
